Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
6500,48,Employed - full time,Other,0,120,2,3,2,0,0,1,1,80.67,1721,1721,1,0.264769230728497,0.01666666652777778
16000,42,Employed - full time,Consolidation,0,251,1,22,11,1,0,2,11,55.82,29752,29752,0,1.8594999998837811,0.003984063729147156
8000,48,Employed - full time,Vets bills,1,374,8,17,12,1,0,2,5,100.12,195864,7344,0,24.482999996939625,0.021390374274357287
10000,60,Employed - full time,Other,0,207,2,28,20,4,11,2,8,54.7,6737,6737,7,0.67369999993263,0.009661835702116735
10000,36,Employed - full time,Home improvements,1,267,7,24,14,0,0,1,10,88.92,19058,4095,0,1.90579999980942,0.02621722836622761
10000,60,Employed - full time,Other,0,127,8,19,13,2,0,4,6,50.79,261191,52869,0,26.11909999738809,0.06299212548825098
1500,36,Retired,Other,0,283,21,12,10,0,0,0,2,76.08,5802,5802,5,3.8679999974213333,0.07420494673425813
6500,48,Employed - full time,Emergency,0,64,21,6,6,0,0,0,0,33.83,41559,41559,0,6.393692306708663,0.32812499487304697
7000,24,Employed - full time,Household,0,178,8,12,8,1,0,1,4,50.92,141085,17420,0,20.154999997120715,0.04494381997222573
15000,48,Employed - full time,Other,0,290,4,6,5,1,1,2,1,77.5,13752,13752,7,0.91679999993888,0.013793103400713437
12000,24,Employed - full time,Other,0,139,1,10,7,2,0,6,3,27.9,10944,10944,0,0.9119999999239999,0.007194244552559392
6500,48,Employed - full time,Other,0,231,1,55,12,16,4,17,43,41.78,19054,19054,7,2.931384614933633,0.004329004310264051
14000,60,Employed - full time,Other,0,281,2,22,14,3,0,6,8,90.32,20035,20035,0,1.4310714284692092,0.007117437697090969
6500,48,Employed - part time,Other,0,123,1,9,7,0,1,5,2,45.56,554,554,7,0.08523076921765681,0.008130081234714787
4000,60,Employed - full time,debt consolidation,1,253,1,28,10,2,0,1,18,86.04,75782,4533,0,18.945499995263624,0.0039525691543376715
15000,48,Employed - full time,Other,0,83,3,15,7,3,0,4,8,35.33,25750,25750,0,1.716666666552222,0.03614457787777617
10000,60,Employed - full time,Other,0,178,2,22,13,1,2,5,9,59.36,10752,10752,0,1.07519999989248,0.011235954993056433
10000,36,Employed - full time,Other,0,297,4,18,13,0,3,2,5,71.89,121296,23224,7,12.12959999878704,0.013468013422666621
10000,48,Employed - full time,consolidation,0,211,4,15,10,1,0,3,5,86.6,399239,120378,0,39.923899996007606,0.01895734588171874
10000,60,Employed - full time,debt consolidation,0,275,7,21,11,3,1,1,10,85.9,186364,13091,7,18.63639999813636,0.025454545361983473
10000,60,Employed - full time,Other,0,122,1,22,13,2,0,3,9,35.82,18791,18791,0,1.8790999998120899,0.008196721244289171
6500,48,Employed - full time,Furniture,0,109,4,4,3,0,0,2,1,36.25,1370,1370,0,0.21076923073680473,0.036697247369750025
7500,48,Employed - full time,Consolidation,0,148,1,32,15,4,2,6,17,44.06,19141,19141,7,2.5521333329930487,0.006756756711102995
2000,12,Employed - full time,Other,0,142,2,45,15,3,2,3,30,50.4,3344,3344,7,1.671999999164,0.014084506943066852
1500,48,Employed - full time,Other,0,85,1,14,10,2,0,4,4,30.0,93413,25881,0,62.27533329181644,0.011764705743944639
20000,60,Employed - full time,Other,0,254,6,10,8,0,0,1,2,84.6,5139,5139,0,0.2569499999871525,0.023622047151094304
9500,60,Employed - full time,Home Improvments,0,128,3,16,13,1,0,9,3,32.69,384874,37135,3,40.513052627314416,0.02343749981689453
4000,60,Employed - full time,Vet bills,0,61,1,8,7,1,0,3,1,23.5,12541,12541,0,3.1352499992161875,0.016393442354205864
5000,42,Employed - full time,Other,0,111,2,46,17,4,4,4,29,49.7,23613,23613,7,4.72259999905548,0.018018017855693534
10000,60,Employed - full time,Car,0,245,4,12,11,1,0,4,1,39.25,155719,3590,1,15.57189999844281,0.016326530545605997
15000,60,Employed - full time,Other,0,61,3,16,14,0,0,3,2,25.56,26329,26329,0,1.7552666665496488,0.049180327062617595
10000,48,Employed - full time,Other,0,91,4,14,14,0,0,3,0,31.57,18803,18803,0,1.88029999981197,0.04395604347301051
15000,60,Employed - full time,Furniture,0,254,1,59,10,12,0,8,49,27.66,10283,10283,0,0.6855333332876311,0.003937007858515717
3000,42,Self employed,Other,0,165,3,24,10,6,0,1,14,50.5,352089,18475,0,117.36299996087901,0.018181818071625347
10000,60,Self employed,Other,0,233,6,7,6,1,0,3,1,66.0,9629,9629,0,0.96289999990371,0.025751072850853766
2000,24,Employed - full time,Debt consolidation,0,133,1,29,19,4,0,5,10,51.52,20627,20627,0,10.31349999484325,0.007518796935948895
6000,60,Self employed,Other,0,91,3,23,13,4,0,6,10,31.91,19205,19205,0,3.200833332799861,0.03296703260475788
1000,36,Employed - full time,Other,0,237,10,6,5,0,0,1,1,94.17,2797,2797,0,2.796999997203,0.042194092648970075
2000,48,Employed - full time,Other,0,201,2,11,9,0,0,2,2,55.36,16334,16334,1,8.1669999959165,0.009950248706715181
6500,48,Employed - full time,Other,0,95,21,11,5,1,1,0,6,67.09,3132,3132,0,0.48184615377202367,0.22105262925207758
10000,36,Employed - full time,Other,0,291,14,9,8,0,0,0,1,99.22,50952,10560,0,5.09519999949048,0.04810996547041249
3000,60,Employed - full time,Car,0,89,3,43,38,3,16,22,5,25.65,9483,9483,7,3.1609999989463335,0.03370786478979927
6000,24,Employed - part time,Other,1,287,22,16,6,1,0,0,10,97.25,133327,196,0,22.22116666296314,0.07665505199771759
20000,36,Employed - full time,Other,0,143,3,31,15,0,0,4,16,57.68,136424,22861,0,6.82119999965894,0.02097902083231454
18000,60,Employed - part time,Other,0,363,24,13,6,0,0,0,7,118.15,77275,13400,0,4.293055555317053,0.06611570229720193
500,12,Employed - full time,Other,0,104,26,9,4,0,3,0,5,46.11,6779,6779,7,13.557999972884,0.24999999759615388
1000,24,Employed - full time,Other,0,41,3,6,5,0,1,3,1,16.33,509,509,7,0.508999999491,0.07317072992266513
6000,60,Employed - full time,Home improvement,0,192,1,21,8,3,3,4,13,74.62,107501,6157,0,17.916833330347192,0.005208333306206597
2000,12,Employed - part time,car,1,232,6,15,9,0,0,3,6,69.67,1645,1645,1,0.82249999958875,0.025862068854042807
15500,60,Employed - full time,Other,0,210,8,19,11,1,0,2,8,53.26,136812,16445,0,8.826580644591834,0.0380952379138322
